zh-CN,ko

# ===캐릭터이름===


莱娜,레나
莱娅,리바
维普蕾,베프리
闪电,그로자
波波沙,파파샤
洛塔,롯타
朝晖,조휘
可露凯,클루카이
莉塔拉,리타라
索米,수오미
克罗丽科,캐롤릭
纳美西丝,네메시스
寇尔芙,콜펜
美玲,메이링
佩里缇亚,페리티아
佩莉,페리
夏克里,샤크리
杜莎妮,드셰브니
奇塔,치타
托洛洛,토로로
纳甘,나강
琼玖,경구
桑朵莱希,센타우레이시
塞布丽娜,사브리나
黛烟,대연
莫辛,모신
玛绮朵,마키아토
绛雨,강우
科谢尼娅,크세니아
乌尔丽德,울리드
斯捷奇金,스테츠킨
安朵丝,안도리스
绯,페이
维克托,벡터
米什缇,미슈티
比悠卡,비욜카
春田,스프링필드
琳德,린드
秋桦,추화
幼熙,유희
妮基塔,니키타
洛贝拉,로벨라
埃芙,앨바
威玛西娜,보이마스티나
巴希达,바틸다
刘易斯,루이스
海伦,헬렌
翡图萨,파에투사
樱花,사쿠라
罗蕾莱,로렐라이
哈卜茜,하프시
夏安,샤이엔
刘莳,류시
贝丝蒂,베스티
六分仪,섹스턴스
OTs-14,OTs-14
纳美西丝·衍光,네메시스·연광
索普,소프
米蒂尔,미틸
芙铃,페일린
贝蒂斯,바스티
维尔德,웰로드
克莱妲,콜레다
阿斯缇亚,아스테리아
# ===NPC===
德米特里,드미트리
萨珈,사쟈
赫瑞尤,크리피움
帕斯卡莉亚,페르시카
帕斯卡,페르시카
格琳娜,카리나
赫丽安,헬리안
丹德莱,댄들라이
赫利,헤리
蓝雪球,블루스피어
海伦娜,헬레나
茧,코쿤
涅托,니토
妮特,니터
佩妮泽,폴루드니차
思格特,스카르테
黑眼,다츄어
厄舍上尉,우세리 대위
弗拉基米尔准尉,블라디미르 준위
布瑟尔,베르셀
阿米达,아민다
雅各布,야코프
兰珀蒂娅,람페티에
罗莎琳,로잘린
佛尔卡什,파르카스
菲奥多,피오도
克罗耶尔,크뢰이어
维因,웨인
西比拉,시빌라
赫丽安图丝,헬리안투스
赫蒂,헤이디
茜丝莉,시슬리
夏洛特,샬럿
亨利,헨리
贝拉,벨라
克拉拉,클라라
德尔,데레
兰汀,렌틴
康尼,코니
尼古拉,니콜라스
莱布妮丝,라이브니스
斐狄,파데이
艾达,에이다
梅兰妮,멜라니
安洁莉娅,안젤리아
奇洛薇格,칠로베이그
欧菲露妮,오르페루네
萨曼莎·肖,서맨사 쇼
爵士,훈작사
哈维尔,하벨
奈乐,넬레
白獒,마스티프
雪狼,백랑
噩兆,흉조
针,이글라
知穗,지수
卡萝,쿠로
清道夫,스위퍼
伊格蕾塔,이글레타


涂装,도색
配件,파츠
队长,대장
专属契合套装,전용 결합 세트
入队,영입
伯介姆,부점
坍塌昙花,붕괴우담화
霜降,상강
希岸,시온
二级平层,레벨 2 플랫폼
纽虫,끈벌레
萨狄斯金,사르디스 골드
晶条,샤드
绘像,아이콘
绘像框,액자
白区,화이트존
绿区,그린존
黄区,옐로우존
素银匿信,은빛에 숨겨진 편지
匿影而生,그림자에 숨은 삶
错位锚定,어긋난 앵커
边界推进,변경 추진
火花之罪,불꽃의 죄
仁心仁术,인심인술
安提娅,안티아
和莱希的五十天,50일의 메이드
闪耀星愿,반짝이는 별의 소원
磐脉之根,암맥의 뿌리
叠岩之根,겹암의 뿌리
髓柱之根,골수기둥의 뿌리
千须之根,천수염의 뿌리
熵叠之茎,겹엔트로피의 줄기
鞘钉之茎,칼집못의 줄기
锋锐之茎,예리의 줄기
裂隙之茎,균열의 줄기
碧络之叶,벽락의 잎
源栅之叶,원책의 잎
晨露之叶,새벽이슬의 잎
逆棘之叶,역가시의 잎
穹顶之花,궁륭의 꽃
戮冠之花,육관의 꽃
瓣鞘之花,판초의 꽃
烈萼之花,열꽃받침의 꽃
次世代内存条,차세대 RAM
大容量内存条,대용량 RAM
普通内存条,평범한 RAM
铭契之环,결약의 고리
拟态图谱,리몰딩 패턴
水吧,드링크 바
心智回路,마인드맵 회로
心智突破,마인드 돌파
心智螺旋,뉴럴 헬릭스
艾莫号的,엘모호


#===몹NPC===
熔岩巨人,수르트
灼光巨人,아르게스
电芒巨人,스테로페스
焦土巨人,요르드
雷鸣巨人,브론테스
莫普1.5·除净版一型,모프 1.5·세척형I
莫普1.5·除净版Ⅰ,모프 1.5·청소 버전 I
莫普1.5·试作版三型,모프 1.5·시제기III
莫普1.5·试作版Ⅲ,모프 1.5·시작 버전 III
巡卫,패트롤
治安,폴리스
埃吉欧,에지오
先锋誓卫,호위군 선봉
特战誓卫一型,호위군 특전사 I
复合哨兵一型,컴포짓 센트리Ⅰ
猛犸号·改,맘모스호·개량형
无序幽灵一型,무질서의 유령Ⅰ
定序幽灵一型,질서의 유령Ⅰ
傀儡人形·暴风猎手,꼭두각시·스톰 헌터
傀儡人形·精准脉冲,꼭두각시·샤프슈터
傀儡人形·刀锋行者一型,꼭두각시·블레이드 러너Ⅰ
傀儡人形·水形一型,꼭두각시·아쿠아 Ⅰ
傀儡人形·寒冻Ⅰ,꼭두각시·프로스트 Ⅰ
针·异化,이글라·이형
聚合熵·函数狱,응집 엔트로피·펑션 헬
熵病毒·γI,엔트로피 바이러스·γI
剑锷泰坦·暴斩,소드 가드 티탄·폭참
歌利亚,골리앗
信息茧房·侵入,데이터 코쿤·침입
转码器,인코더
獠牙铁兽·猎杀,송곳니 강철수·헌터
尖喙铁兽·浊雷,부리 강철수·탁뢰
壁瘤棘虫·戮,투모링커스·살육
改装重机枪模组-Ⅰ型,개조 중기관총 모듈-Ⅰ
改装榴弹发射模组-Ⅰ型,개조 유탄 발사 모듈-Ⅰ
榴弹发射模组·超远距IV型,유탄 발사 모듈·초장거리 IV형
重刃圣盾·轻骑型,대도 이지스·후사르
硬甲恶囚I,장갑 콘빅트 I
半脑恶囚I,반뇌 콘빅트 I
寄生恶囚I,기생 콘빅트I
伴行恶囚I,동행 콘빅트 I
突击兵一型,돌격병Ⅰ
不耐烦的顾客,짜증난 손님
好说话的顾客,넉살좋은 손님
超级兵蚁？,슈퍼 디너게이트?
城市广播,시내 방송
小熊？,곰돌이...?
小孩,어린이
母亲,어머니
小哔,삐삐
？？,??
暴躁的青年,험상궂은 청년
散漫的青年,산만한 청년
矮个男子,키작은 남자
？？？,???
紧张的战术人形,긴장한 전술인형
生骸,시생물
GSP-337,GSP-337
开朗的战术人形,밝은 전술인형
忙碌的战术人形,바쁜 전술인형
KSVK,KSVK
犹豫的普通人形,망설이는 민수용 인형
务实的战术人形,실무적인 전술인형
兴奋的战术人形,들뜬 전술인형
振奋的普通人形,기운 내는 일반인형
警惕的战术人形,경계하는 전술인형
谨慎的战术人形,신중한 전술인형
不安的普通人形,불안한 민수용 인형
悲观的战术人形,비관적인 전술인형
理性的战术人形,이성적인 전술인형
乐观的战术人形,낙천적인 전술인형
不满的战术人形,불만 있는 전술인형
犹豫的战术人形,망설이는 전술인형
乐观的混合心智,낙천적인 혼합 마인드맵
犹疑的混合心智,의심 많은 혼합 마인드맵
居住点负责人,정착지 담당자
随和的成员,유순한 바랴그단
淡定的成员,차분한 바랴그단
得意的孩子,득의양양한 아이
胆怯的孩子,겁 많은 아이
谨慎的孩子,소심한 아이
收货人,수취인
瓦良格帮成员,바랴그단원
系统,시스템
机械,기계
桑朵莱希、玛绮朵,센타우레이시 & 마키아토
劫匪,강도
陌生少年？,낯선 소년?
陌生少女,낯선 소녀
剧团经理,극단 매니저
慌乱的男人,당황한 남자
狼狈的男人,엉망인 남자
被绑住的男子,포박된 남자
慌乱的二人,당황한 두 사람
愤怒的男声,분노한 남성 목소리
熟悉的女声,익숙한 여성 목소리
兴奋的剧团成员,흥분한 극단 멤버
黄区居民,옐로우존 주민
开心的剧团成员,기쁜 극단 멤버
导演,감독
年轻的男演员,젊은 남배우
年轻的女演员,젊은 여배우
乌琪,루체
代号90,No.90
TMP,TMP
G36K-KSK,G36K-KSK
HK416,HK416
G28,G28
喀什玛,코시마르
安保机器人,보안 로봇
众人,일동
G11,G11
客人,손님
开心的维修人员,신난 정비사
随和的维修人员,둥근 정비사
魁梧的维修人员,우람한 정비사
教学视频,교육 영상
生气的顾客,성난 고객
焦躁的赏金猎人,초조한 현상금 사냥꾼
随意的赏金猎人,나긋한 현상금 사냥꾼
安保,보안요원
中年男人,중년 남성
铁路警察,철도 경찰
平民,민간인
人形,인형
神秘留言,미스테리한 메시지
村民（杜莎妮）,마을사람(드셰브니)
领主（指挥官）,영주(지휘관)
海伦娜？？,헬레나??
海伦娜D-68,헬레나 D-68
老尼尔,닐
广播,방송
工作人员,직원
领头暗商,암상인 리더
莫普,모프
小狗,강아지
“春田”,"스프링필드"
秘书,비서
拉夫尔,라브렌티
德拉臣,드라켄
暴躁的瓦良格帮成员,사나운 바랴그단원
凶狠的瓦良格帮成员,잔인한 바랴그단원
参赛暗商,참가자 암상인
保镖,경비원
摊主,가게 주인
格拉希尔,글라시르
未知对象,신원불명
###,###
瓦良格帮头目,바랴그단 두목
混合型伯介姆,혼합형 부점
委托人,의뢰인
侦察小组成员,정찰팀 대원
洲际列车广播,열차 방송
检察员,검문요원
UMP9,UMP9
阿历克斯,알렉스
新闻播报,뉴스 아나운서
车站广播,열차역 방송
奥德卅首席,오데사 수석
达伦·克劳迪,대런 클로드
混混,양아치
驻军中尉,주둔군 중위
驻军下士,주둔군 하사
怕事的成员,소심한 단원
暴戾的成员,험상궂은 단원
谄媚的成员,아부쟁이 단원
暗商,암상인
长袍人群的领头人,로브 차림 인솔자
长袍人群,로브 차림들
奇怪的长袍人,이상한 로브 차림
虔诚的长袍人,경건한 로브 차림
狂热的长袍人,열광적인 로브 차림
黑色人影,검은 옷
愤怒的长袍人,분노한 로브 차림
虔诚的徒从,경건한 신도
徒从们,신도들
欣喜的徒从,기쁜 신도
狂热的徒从,열광하는 신도
诧异的士兵,경악한 병사
洛林,로렌
